data,brl_price_yesterday,brl_price_yesterday-1,var_brl_price_yesterday,var_usd_price_yesterday,usd,brl_price
04-01-2019,406.66,407.80,1.14,0.02,3.71,407.57
07-01-2019,407.57,406.66,-0.91,-0.02,3.73,405.63
08-01-2019,405.63,407.57,1.94,-0.02,3.71,411.77
09-01-2019,411.77,405.63,-6.14,0.03,3.69,411.99
10-01-2019,411.99,411.77,-0.22,0,3.72,409.93
11-01-2019,409.93,411.99,02.06,-0.02,3.72,408.58
14-01-2019,408.58,409.93,1.35,0.03,3.70,407.67
15-01-2019,407.67,408.58,0.91,0,3.73,402.67
16-01-2019,402.67,407.67,5,0.01,3.73,404.07
17-01-2019,404.07,402.67,-1.4,0.02,3.74,407.61
18-01-2019,407.61,404.07,-3.54,0,3.76,415.41
21-01-2019,415.41,407.61,-7.8,0.04,3.76,417.27
22-01-2019,417.27,415.41,-1.86,-0.03,3.80,412.64
23-01-2019,412.64,417.27,4.63,0,3.77,413.97
24-01-2019,413.97,412.64,-1.33,-0.01,3.77,418.21
25-01-2019,418.21,413.97,-4.24,0,3.76,418.56
28-01-2019,418.56,418.21,-0.35,-0.04,3.76,413.73
29-01-2019,413.73,418.56,4.83,0,3.72,410.74
30-01-2019,410.74,413.73,2.99,-0.07,3.72,411.55
31-01-2019,411.55,410.74,-0.81,0.01,3.65,415.13
01-02-2019,415.13,411.55,-3.58,0.01,3.66,415.64
04-02-2019,415.64,415.13,-0.51,-0.01,3.67,417.87
05-02-2019,417.87,415.64,-2.23,0.04,3.66,418.51
06-02-2019,418.51,417.87,-0.64,0.01,3.70,420.46
07-02-2019,420.46,418.51,-1.95,0.02,3.71,418.48
08-02-2019,418.48,420.46,1.98,0.03,3.73,418.21
11-02-2019,418.21,418.48,0.27,-0.05,3.76,409.73
12-02-2019,409.73,418.21,8.48,0.04,3.71,408.98
13-02-2019,408.98,409.73,0.75,-0.01,3.75,408.62
14-02-2019,408.62,408.98,0.36,-0.04,3.74,405.12
15-02-2019,405.12,408.62,3.5,0.03,3.70,405.26
18-02-2019,405.26,405.12,-0.14,-0.02,3.73,404.19
19-02-2019,404.19,405.26,01.07,0.02,3.71,403.12
20-02-2019,403.12,404.19,01.07,0.02,3.73,402.51
21-02-2019,402.51,403.12,0.61,-0.01,3.75,401.84
22-02-2019,401.84,402.51,0.67,0,3.74,403.63
25-02-2019,403.63,401.84,-1.79,0.01,3.74,401.42
26-02-2019,401.42,403.63,2.21,-0.02,3.75,396.32
27-02-2019,396.32,401.42,5.1,0.02,3.73,397.40
28-02-2019,397.40,396.32,-1.08,0.02,3.75,396.68
01-03-2019,396.68,397.40,0.72,0.07,3.77,398.43
06-03-2019,398.43,396.68,-1.75,0.06,3.84,400.33
07-03-2019,400.33,398.43,-1.9,-0.03,3.90,401.27
08-03-2019,401.27,400.33,-0.94,-0.03,3.87,403.09
11-03-2019,403.09,401.27,-1.82,-0.03,3.84,401.91
12-03-2019,401.91,403.09,1.18,0,3.81,395.58
13-03-2019,395.58,401.91,6.33,0.04,3.81,398.22
14-03-2019,398.22,395.58,-2.64,-0.03,3.85,399.14
15-03-2019,399.14,398.22,-0.92,-0.03,3.82,398.96
18-03-2019,398.96,399.14,0.18,-0.01,3.79,395.22
19-03-2019,395.22,398.96,3.74,-0.03,3.78,393.28
20-03-2019,393.28,395.22,1.94,0.04,3.75,387.99
21-03-2019,387.99,393.28,5.29,0.11,3.79,388.89
22-03-2019,388.89,387.99,-0.9,-0.04,3.90,389.35
25-03-2019,389.35,388.89,-0.46,0.01,3.86,390.88
26-03-2019,390.88,389.35,-1.53,0.08,3.87,392.84
27-03-2019,392.84,390.88,-1.96,-0.04,3.95,394.11
28-03-2019,394.11,392.84,-1.27,0.01,3.91,393.99
29-03-2019,393.99,394.11,0.12,-0.05,3.92,393.08
01-04-2019,393.08,393.99,0.91,-0.01,3.87,387.09
02-04-2019,387.09,393.08,5.99,0.01,3.86,384.58
03-04-2019,384.58,387.09,2.51,-0.02,3.87,392.46
